id,name,chr,38bp1,38bp2,37bp1,37bp2
"<a id=""A1BG"" href=""#"" onclick=""resClick(this.id)"">A1BG</a>",alpha-1-B glycoprotein,19,"","",58856548,58864858
"<a id=""A1CF"" href=""#"" onclick=""resClick(this.id)"">A1CF</a>",APOBEC1 complementation factor,10,"","",52559168,52645435
"<a id=""A2M"" href=""#"" onclick=""resClick(this.id)"">A2M</a>",alpha-2-macroglobulin,12,"","",9220303,9268825
"<a id=""A2ML1"" href=""#"" onclick=""resClick(this.id)"">A2ML1</a>",alpha-2-macroglobulin like 1,12,"","",8975216,9029383
"<a id=""A3GALT2"" href=""#"" onclick=""resClick(this.id)"">A3GALT2</a>","alpha 1,3-galactosyltransferase 2",1,"","",33772366,33786699
"<a id=""A4GALT"" href=""#"" onclick=""resClick(this.id)"">A4GALT</a>","alpha 1,4-galactosyltransferase (P blood group)",22,"","",43088117,43117307
"<a id=""A4GNT"" href=""#"" onclick=""resClick(this.id)"">A4GNT</a>","alpha-1,4-N-acetylglucosaminyltransferase",3,"","",137842554,137851232
"<a id=""AAAS"" href=""#"" onclick=""resClick(this.id)"">AAAS</a>",aladin WD repeat nucleoporin,12,"","",53701243,53715394
"<a id=""AACS"" href=""#"" onclick=""resClick(this.id)"">AACS</a>",acetoacetyl-CoA synthetase,12,"","",125549980,125627862
"<a id=""AADAC"" href=""#"" onclick=""resClick(this.id)"">AADAC</a>",arylacetamide deacetylase,3,"","",151531903,151546276
"<a id=""AADACL2"" href=""#"" onclick=""resClick(this.id)"">AADACL2</a>",arylacetamide deacetylase like 2,3,"","",151451714,151479126
"<a id=""AADACL3"" href=""#"" onclick=""resClick(this.id)"">AADACL3</a>",arylacetamide deacetylase like 3,1,"","",12776112,12788727
"<a id=""AADACL4"" href=""#"" onclick=""resClick(this.id)"">AADACL4</a>",arylacetamide deacetylase like 4,1,"","",12704565,12727097
"<a id=""AADAT"" href=""#"" onclick=""resClick(this.id)"">AADAT</a>",aminoadipate aminotransferase,4,"","",170981372,171011538
"<a id=""AAGAB"" href=""#"" onclick=""resClick(this.id)"">AAGAB</a>",alpha and gamma adaptin binding protein,15,"","",67493012,67547536
"<a id=""AAK1"" href=""#"" onclick=""resClick(this.id)"">AAK1</a>",AP2 associated kinase 1,2,"","",69685128,69870871
"<a id=""AAMDC"" href=""#"" onclick=""resClick(this.id)"">AAMDC</a>",adipogenesis associated Mth938 domain containing,11,"","",77532159,77611831
"<a id=""AAMP"" href=""#"" onclick=""resClick(this.id)"">AAMP</a>",angio associated migratory cell protein,2,"","",219128851,219134860
"<a id=""AANAT"" href=""#"" onclick=""resClick(this.id)"">AANAT</a>",aralkylamine N-acetyltransferase,17,"","",74449432,74466199
"<a id=""AAR2"" href=""#"" onclick=""resClick(this.id)"">AAR2</a>",AAR2 splicing factor,20,"","",34824338,34844863
"<a id=""AARD"" href=""#"" onclick=""resClick(this.id)"">AARD</a>",alanine and arginine rich domain containing protein,8,"","",117950445,117956726
"<a id=""AARS"" href=""#"" onclick=""resClick(this.id)"">AARS</a>",alanyl-tRNA synthetase,16,"","",70286296,70323412
"<a id=""AARS2"" href=""#"" onclick=""resClick(this.id)"">AARS2</a>","alanyl-tRNA synthetase 2, mitochondrial",6,"","",44266467,44281084
"<a id=""AARSD1"" href=""#"" onclick=""resClick(this.id)"">AARSD1</a>",alanyl-tRNA synthetase domain containing 1,17,"","",41102542,41116471
"<a id=""AASDH"" href=""#"" onclick=""resClick(this.id)"">AASDH</a>",aminoadipate-semialdehyde dehydrogenase,4,"","",57204450,57253674
"<a id=""AASDHPPT"" href=""#"" onclick=""resClick(this.id)"">AASDHPPT</a>",aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,11,"","",105948388,105969422
"<a id=""AASS"" href=""#"" onclick=""resClick(this.id)"">AASS</a>",aminoadipate-semialdehyde synthase,7,"","",121713603,121784303
"<a id=""AATF"" href=""#"" onclick=""resClick(this.id)"">AATF</a>",apoptosis antagonizing transcription factor,17,"","",35306253,35414171
"<a id=""AATK"" href=""#"" onclick=""resClick(this.id)"">AATK</a>",apoptosis associated tyrosine kinase,17,"","",79091095,79140021
"<a id=""ABAT"" href=""#"" onclick=""resClick(this.id)"">ABAT</a>",4-aminobutyrate aminotransferase,16,"","",8768473,8878426
"<a id=""ABCA1"" href=""#"" onclick=""resClick(this.id)"">ABCA1</a>",ATP binding cassette subfamily A member 1,9,"","",107543286,107690436
"<a id=""ABCA10"" href=""#"" onclick=""resClick(this.id)"">ABCA10</a>",ATP binding cassette subfamily A member 10,17,"","",67144147,67240956
"<a id=""ABCA12"" href=""#"" onclick=""resClick(this.id)"">ABCA12</a>",ATP binding cassette subfamily A member 12,2,"","",215796265,216003349
"<a id=""ABCA13"" href=""#"" onclick=""resClick(this.id)"">ABCA13</a>",ATP binding cassette subfamily A member 13,7,"","",48211054,48687093
"<a id=""ABCA2"" href=""#"" onclick=""resClick(this.id)"">ABCA2</a>",ATP binding cassette subfamily A member 2,9,"","",139901685,139923374
"<a id=""ABCA3"" href=""#"" onclick=""resClick(this.id)"">ABCA3</a>",ATP binding cassette subfamily A member 3,16,"","",2325881,2390729
